Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Locations,Chrome 71.0.3578.98,,2019-01-03 11:59:03,2019-01-03 11:59:19,16.106s,FAILED
,,,,,,
Test Cases/Orange_Website/TC_Multi_Scenarios,Chrome 71.0.3578.98,,2019-01-03 11:59:03,2019-01-03 11:59:19,15.556s,FAILED
openBrowser,Chrome 71.0.3578.98,,2019-01-03 11:59:04,2019-01-03 11:59:11,7.163s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-03 11:59:11,2019-01-03 11:59:12,0.312s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-03 11:59:12,2019-01-03 11:59:12,0.221s,PASSED
click,Chrome 71.0.3578.98,,2019-01-03 11:59:12,2019-01-03 11:59:14,1.702s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-03 11:59:14,2019-01-03 11:59:16,2.076s,PASSED
click,Chrome 71.0.3578.98,,2019-01-03 11:59:16,2019-01-03 11:59:16,0.663s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-03 11:59:16,2019-01-03 11:59:19,2.481s,FAILED
