Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OrangeWebUsingKeywords,Chrome 71.0.3578.98,,2019-01-03 16:20:17,2019-01-03 16:20:41,23.678s,ERROR
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_AllPageComponent,Chrome 71.0.3578.98,,2019-01-03 16:20:18,2019-01-03 16:20:30,12.364s,ERROR
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-03 16:20:18,2019-01-03 16:20:27,8.538s,PASSED
click,Chrome 71.0.3578.98,,2019-01-03 16:20:27,2019-01-03 16:20:29,1.929s,PASSED
pk_Functions.CS_TextLov.TextLovFun,Chrome 71.0.3578.98,,2019-01-03 16:20:29,2019-01-03 16:20:30,1.488s,ERROR
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_AllPageComponent,Chrome 71.0.3578.98,,2019-01-03 16:20:30,2019-01-03 16:20:41,10.819s,ERROR
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-03 16:20:30,2019-01-03 16:20:39,9.153s,PASSED
click,Chrome 71.0.3578.98,,2019-01-03 16:20:39,2019-01-03 16:20:41,1.149s,PASSED
pk_Functions.CS_TextLov.TextLovFun,Chrome 71.0.3578.98,,2019-01-03 16:20:41,2019-01-03 16:20:41,0.492s,ERROR
